Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,74,6,Some Random Commen with Id 0
1,0,2,120,3,Some Random Commen with Id 1
2,0,2,66,5,Some Random Commen with Id 2
3,0,2,14,9,Some Random Commen with Id 3
4,0,2,77,4,Some Random Commen with Id 4
5,2,3,166,3,Some Random Commen with Id 5
6,2,3,83,8,Some Random Commen with Id 6
7,2,3,7,4,Some Random Commen with Id 7
8,2,3,85,6,Some Random Commen with Id 8
9,2,3,104,4,Some Random Commen with Id 9
10,2,3,76,2,Some Random Commen with Id 10
11,2,3,72,8,Some Random Commen with Id 11
12,2,3,128,4,Some Random Commen with Id 12
13,3,3,58,4,Some Random Commen with Id 13
14,3,3,52,3,Some Random Commen with Id 14
15,3,3,16,8,Some Random Commen with Id 15
16,3,3,120,1,Some Random Commen with Id 16
17,3,3,192,9,Some Random Commen with Id 17
18,3,3,11,9,Some Random Commen with Id 18
19,3,3,146,6,Some Random Commen with Id 19
20,3,3,132,2,Some Random Commen with Id 20
21,4,8,99,2,Some Random Commen with Id 21
22,4,8,4,5,Some Random Commen with Id 22
23,4,8,59,2,Some Random Commen with Id 23
24,4,8,34,2,Some Random Commen with Id 24
25,4,8,75,9,Some Random Commen with Id 25
26,5,0,174,9,Some Random Commen with Id 26
27,5,0,199,5,Some Random Commen with Id 27
28,5,0,106,1,Some Random Commen with Id 28
29,5,0,0,5,Some Random Commen with Id 29
30,5,0,150,1,Some Random Commen with Id 30
31,6,6,196,3,Some Random Commen with Id 31
32,6,6,83,2,Some Random Commen with Id 32
33,6,6,142,2,Some Random Commen with Id 33
34,7,5,29,1,Some Random Commen with Id 34
35,7,5,70,4,Some Random Commen with Id 35
36,7,5,28,3,Some Random Commen with Id 36
37,7,5,136,0,Some Random Commen with Id 37
38,8,1,52,3,Some Random Commen with Id 38
39,8,1,151,9,Some Random Commen with Id 39
40,8,1,54,2,Some Random Commen with Id 40
41,8,1,151,1,Some Random Commen with Id 41
42,8,1,134,1,Some Random Commen with Id 42
43,8,1,170,8,Some Random Commen with Id 43
44,8,1,85,1,Some Random Commen with Id 44
45,8,1,84,6,Some Random Commen with Id 45
46,8,1,35,6,Some Random Commen with Id 46
47,9,5,4,2,Some Random Commen with Id 47
48,9,5,54,0,Some Random Commen with Id 48
49,9,5,145,2,Some Random Commen with Id 49
50,9,5,197,1,Some Random Commen with Id 50
51,9,5,130,0,Some Random Commen with Id 51
52,9,5,132,8,Some Random Commen with Id 52
53,9,5,1,4,Some Random Commen with Id 53
54,10,9,162,7,Some Random Commen with Id 54
55,10,9,95,9,Some Random Commen with Id 55
56,10,9,182,7,Some Random Commen with Id 56
57,11,1,103,4,Some Random Commen with Id 57
58,12,2,190,1,Some Random Commen with Id 58
59,12,2,77,0,Some Random Commen with Id 59
60,12,2,8,9,Some Random Commen with Id 60
61,13,1,191,5,Some Random Commen with Id 61
62,13,1,107,0,Some Random Commen with Id 62
63,13,1,172,2,Some Random Commen with Id 63
64,15,5,108,1,Some Random Commen with Id 64
65,15,5,55,5,Some Random Commen with Id 65
66,15,5,125,2,Some Random Commen with Id 66
67,15,5,124,4,Some Random Commen with Id 67
68,15,5,192,2,Some Random Commen with Id 68
69,15,5,83,9,Some Random Commen with Id 69
70,16,9,0,9,Some Random Commen with Id 70
71,16,9,179,4,Some Random Commen with Id 71
72,16,9,167,8,Some Random Commen with Id 72
73,16,9,59,6,Some Random Commen with Id 73
74,17,3,27,7,Some Random Commen with Id 74
75,18,7,100,6,Some Random Commen with Id 75
76,18,7,157,5,Some Random Commen with Id 76
77,18,7,135,1,Some Random Commen with Id 77
78,18,7,1,4,Some Random Commen with Id 78
79,18,7,93,8,Some Random Commen with Id 79
80,18,7,11,2,Some Random Commen with Id 80
81,18,7,169,2,Some Random Commen with Id 81
82,18,7,69,9,Some Random Commen with Id 82
83,18,7,2,8,Some Random Commen with Id 83
84,19,4,141,0,Some Random Commen with Id 84
85,19,4,78,0,Some Random Commen with Id 85
86,19,4,31,5,Some Random Commen with Id 86
87,19,4,7,8,Some Random Commen with Id 87
88,19,4,199,1,Some Random Commen with Id 88
89,19,4,170,7,Some Random Commen with Id 89
90,19,4,106,0,Some Random Commen with Id 90
91,19,4,132,3,Some Random Commen with Id 91
92,19,4,0,9,Some Random Commen with Id 92
93,20,5,52,5,Some Random Commen with Id 93
94,20,5,184,9,Some Random Commen with Id 94
95,20,5,66,0,Some Random Commen with Id 95
96,20,5,2,0,Some Random Commen with Id 96
97,20,5,16,0,Some Random Commen with Id 97
98,20,5,23,1,Some Random Commen with Id 98
99,20,5,7,5,Some Random Commen with Id 99
100,20,5,144,1,Some Random Commen with Id 100
101,20,5,83,4,Some Random Commen with Id 101
102,21,4,85,0,Some Random Commen with Id 102
103,23,8,181,1,Some Random Commen with Id 103
104,23,8,124,8,Some Random Commen with Id 104
105,23,8,38,5,Some Random Commen with Id 105
106,23,8,118,4,Some Random Commen with Id 106
107,23,8,87,0,Some Random Commen with Id 107
108,23,8,69,3,Some Random Commen with Id 108
109,24,7,178,9,Some Random Commen with Id 109
110,24,7,117,9,Some Random Commen with Id 110
111,24,7,37,7,Some Random Commen with Id 111
112,24,7,1,0,Some Random Commen with Id 112
113,24,7,99,3,Some Random Commen with Id 113
114,24,7,86,3,Some Random Commen with Id 114
115,26,1,135,0,Some Random Commen with Id 115
116,26,1,49,4,Some Random Commen with Id 116
117,26,1,149,5,Some Random Commen with Id 117
118,26,1,0,2,Some Random Commen with Id 118
119,26,1,134,8,Some Random Commen with Id 119
120,26,1,124,9,Some Random Commen with Id 120
121,26,1,176,8,Some Random Commen with Id 121
122,27,2,44,6,Some Random Commen with Id 122
123,27,2,82,8,Some Random Commen with Id 123
124,27,2,18,7,Some Random Commen with Id 124
125,27,2,69,0,Some Random Commen with Id 125
126,28,8,139,3,Some Random Commen with Id 126
127,28,8,131,7,Some Random Commen with Id 127
128,28,8,193,5,Some Random Commen with Id 128
129,28,8,190,6,Some Random Commen with Id 129
130,28,8,31,6,Some Random Commen with Id 130
131,29,1,136,2,Some Random Commen with Id 131
132,29,1,81,3,Some Random Commen with Id 132
133,29,1,178,7,Some Random Commen with Id 133
134,29,1,117,2,Some Random Commen with Id 134
135,30,6,113,7,Some Random Commen with Id 135
136,30,6,178,6,Some Random Commen with Id 136
137,32,3,177,2,Some Random Commen with Id 137
138,32,3,108,3,Some Random Commen with Id 138
139,32,3,147,4,Some Random Commen with Id 139
140,32,3,49,4,Some Random Commen with Id 140
141,32,3,138,9,Some Random Commen with Id 141
142,32,3,74,3,Some Random Commen with Id 142
